Description,Type,Version 8 Alias,Version 8 Program,v7 Name,Pgm Type,Form Status,"CodePort (needs, inits)",Print Preview Tested,"DocOut (needs,inits)",DocOut Tested,Comments
Bill Of Materials,M,,,,,,,,,,
Inventory Production Entry,T,,,bme_aa.bbx,entry,,,,,,
Inventory Production Register,T,,bmr_invproduction.aon,bmr_ha.bbx,register,,Done SV-BP,Done NV-BP,Done NV-BP,,
Inventory Production Update,T,,bmu_invproduction.aon,bmu_aa.bbx,update,,Done SV-BP,,,,
Order/Production Entry,T,,,bme_ba.bbx,entry,,,,,,
Order/Production Register,T,,bmr_ordproduction.aon,bmr_ja.bbx,register,,Done SV-BP,Done NV-BP,Done NV-BP,,
Order/Production Update,T,,bmu_ordproduction.aon,bmu_ja.bbx,update,,Done SV-BP,,,,
Reports,G,,,,,,,,,,
Bill Of Materials Packing Listing,T,BMR_PACKINGLIST,bmr_packinglist.aon,bmr_ea.bbx,report,,Done SV-BP,Done NV-BP,Done NV-BP,,
Materials Where Used Listing,T,BMR_MATERIALUSED,bmr_materialused.aon,bmr_ba.bbx,report selection,,Done SV-BP,,,,
Materials Where Used Listing - overlay,T,,bmr_materialused_o1.aon,bmr_bb.bbx,overlay,,Done SV-BP,Done NV-BP,Done NV-BP,,
Operations Where Used Listing,T,BMR_OPLIST,bmr_oplist.aon,bmr_da.bbx,report selection,,Done SV-BP,,,,
Operations Where Used Listing - overlay,T,,bmr_oplist_o1.aon,bmr_db.bbx,overlay,,Done SV-BP,Done NV-BP,Done NV-BP,,
Indented Bill Of Materials Report,T,BMR_INDENTEDBILL,bmr_intendedbill.aon,bmr_za.bbx,report selection,,Done SV-BP,,,,
Indented Bill Of Materials Report - overlay,T,,bmr_intendedbill_o1.aon,bmr_zb.bbx,overlay,,Done SV-BP,Done NV-BP,Done NV-BP,,
Bill Of Materials Detail Listing,T,BMR_DETAILLIST,bmr_detaillist.aon,bmr_aa.bbx,report selection,,Done SV-BP,,
Bill Of Materials Detail Listing - overlay,T,,bmr_detaillist_o1.aon,bmr_ab.bbx,overlay,,Done SV-BP,Done NV-BP,Done NV-BP
Bill Of Materials Inventory Costing,T,BMR_INVCOST,bmr_invcost.aon,bmr_fa.bbx,report selection,,Done SV-BP,,
Bill Of Materials Inventory Costing - overlay,T,,bmr_invcost_o1.aon,bmr_fb.bbx,overlay,,Done SV-BP,Done NV-BP,Done NV-BP
Maintenance,G,,,,,,,,
Bill Of Materials Master,T,,,bmm_ma.bbx,master maint,,,,
 BOM - Header ,T,,,bmm_mb.bbx,sub maint,,,,
 BOM - Operation Information ,T,,,bmm_md.bbx,sub maint,,,,
 BOM - Material Information,T,,,bmm_mc.bbx,sub maint,,,,
 BOM - Total Information,T,,,bmm_ti.bbx,sub maint,,,,
 BOM - Hard Copy Printing,T,,,bmm_hc.bbx,sub maint,,,,
 BOM - Packing List,T,,,bmm_pl.bbx,sub maint,,,,
 BOM - Delete Bill,T,,,bmm_me.bbx,sub maint,,,,
 BOM - Copy Bill,T,,,bmm_mi.bbx,sub maint,,,,
 BOM - Availability Inquiry,T,BMR_BILLMATAVAIL,bmr_billmatavail.aon,bmr_ia.bbx,selection,,Done SV-BP,,
 BOM - Availability Inquiry - overlay,T,,bmr_billmatavail_o1.aon,bmr_ib.bbx,overlay,,Done SV-BP,Done NV-BP,Done NV-BP
 BOM - Availability Inquiry - hardcopy,T,,,bmr_ic.bbx,report,,Done SV-BP,,TBD,,
 BOM - Comment Maintenance,T,,,bmm_ma.bbx,sub maint,,,,,,
 BOM - Subcontract Information,T,,,bmm_mj.bbx,sub maint,,,,,,
Operation Codes,T,,,bmm_aa/ab.bbx,maintenance,DK-11Feb2008,,,,,
Purge Obsolete Detail Lines,T,,,bmu_ba/bb.bbx,update,WIP-DK,Done PS-BP,,,,
Component Item Replacement,T,,,bmu_da/db.bbx,update,WIP-DK,Done PS-BP,,,,
Application Parameters,T,,,bmp_aa.bbx,param maint,DK-11Feb2008,,,,,
Utilities,G,,,,,,,,,,
Resequence Detail Lines,T,,,bmu_ca/cb.bbx,update,,Done SV-BP,,,,
Bill Detail Exception Report,T,BMR_OPSEQ,bmr_opseq.aon,bmr_la.bbx,report selection,,Done SV-BP,, ,,
Bill Detail Exception Report - overlay,T,,bmr_opseq_o1.aon,bmr_lb.bbx,overlay,,Done SV-BP,Done NV-BP,Done NV-BP,,
Publics,G,,,,,,,,,,
Bill Hard Copy,P,,bmc_printbill.aon,bmc_aa.bbx,public,,Done SV-BP,,,,Changed this program as it is called from some reports. Made DocOut changes in this program.
Enter Effective and Obsolete Dates,P,,,bmc_ba.bbx,public,,Done SV-BP,,,,
 Packing List,P,,bmc_packinglist.aon,bmc_ca.bbx,public,,Done SV-BP,,,,Changed this program as it is called from bmr_packinglist.aon. Made DocOut changes in this program
Get Bill Cost,P,,,bmc_ea.bbx,public,,Done SV-BP,,,,Changed this program as it is called from bmu_invproduction.aon
Phantom Blow-through for Inventory Production Register,P,,,bmc_fa.bbx,public,,Done SV-BP,,,,
Explode Phantoms for Inventory Production Update,P,,,bmc_ga.bbx,public,,Done SV-BP,,,,Changed this program as it is called from bmu_invproduction.aon
