Description,Type,Version 8 Alias,Version 8 Program,Version 6 Name,Program Type,Form Status,"CodePort (needs, inits)",Print Preview Tested,"DocOut (needs,inits)",DocOut Tested,Comments
Inventory Control,M,,,,,,,,,,
Inventory Transaction Entry,T,IVE_TRANSHDR,,IVE.AA,Entry Header,WIP-JB,,,,,
,T,,,IVE.AB,Entry Detail,WIP-JB,,,,,
Inventory Transaction Register,T,,,IVR.AA,Register,,BJ-BP,,needs,,20Aug mods
,T,,,IVU.AA,Update,,Done SV-BP,,,,
Inventory Transfers Entry,T,IVE_TRANSFER,,IVE.CA,Entry,,,,,,
Inventory Transfer Register,T,,,IVR.GA,Register,,BJ-BP,,needs,,20Aug mods
,T,,,IVU.DA,Update,,Done SV-BP,,,,
Cost Changes,G,,,,,,,,,,
Cost Change Entry,T,,,IVE.GA,Entry,,,,,,
Cost Change By Percentage Entry,T,,,IVE.JA,Lead-in to IVC.CA,,,,,,
Cost Change Valuation Report,T,,,IVR.WA,Report,,BJ-BP,,needs,,20Aug mods
Cost Change Register,T,,,IVR.JA,Register,,BJ-BP,,needs,,20Aug mods
,T,,,IVU.GA,Update,,Done SV-BP,,,,
Price Changes,G,,,,,,,,,,
Price Change Entry,T,,,IVE.EA,Entry,,,,,,
Price Change By Percentage Entry,T,,,IVE.HA,Lead-in to IVC.CA,,,,,,
Price Change Register,T,,,IVR.LA,Register,,BJ-BP,,needs,,20Aug mods
,T,,,(IVU.GA),Update,,,,,,
Price Change Reversal Register,T,,,IVR.4A,Register,,BJ-BP,,needs,,20Aug mods
,T,,,(IVU.GA),Update,,,,,,
Physical Inventory,G,,,,,,,,,,
Physical Inventory Selection,T,,,IVE.PA,Entry,,,,,,
Cancel Physical Inventory,T,,,IVE.QA,Entry,,,,,,
Print Count Sheets,T,,,IVR.UA,Report,,BJ-BP,,needs,,20Aug mods
Count Sheet Entry,T,,,IVE.RA,Entry,,,,,,
Physical Inventory Register,T,,,IVR.VA,Register,,BJ-BP,,needs,,20Aug mods
,T,,,IVU.VA,Update,,Done SV-BP,,,,
Reports,G,,,,,,,,,,
Inventory Price List,T,IVR_PRICELIST,ivr_pricelist/ivr_pricelist_o1,IVR.FA/FB,Input/Report Overlay,SL,BJ-BP,CH,Done SV-BP,,IVR.FB; fa and fb converted to ivr_pricelist and ivr_pricelist_o1. Select Form built. CH.20Aug mods ---- Done DocOut changes. Replaced ivm-03 file references (NV-OSI)
Inventory Vendor Listing,T,IVR_VENDLIST,ivr_vendlist/ivr_vendlist_o1,IVR.IA/IB,Input/Report Overlay,SL,BJ-BP,CH,Done SS-BP,,"IVR.IB; ia/ib converted to ivr_vendlist and ivr_vendlist_o1. Also converted two publics, ivc_au/wa, now ivc_usage and ivc_whseinfo. Select Form built.CH.20Aug mods --- Done DocOut changes. (NV-OSI)"
Inventory Item Requirements Report,T,IVR_ITEMREQUIREMT,ivr_itemrequiremt.aon & _o1,IVR.MA/MB,Input/Report Overlay,SL,BJ-BP,SL,Done SV-BP,,IVR.MB 20Aug mods; converted to ivr_itemrequiremt & _o1. Select Form built. Data tested.  Done DocOut changes. Replaced ivm-03 file references (NV-OSI)
Inventory Analysis Report,T,IVR_ITEMANALYSIS,ivr_itemanalysis.aon & _o1,IVR.HA/HB,Input/Report Overlay,SL,BJ-BP,SL,Done SV-BP,,IVR.HB 20Aug mods; ha & hb converted to ivr_itemanalysis & _o1. Select Form built. Data tested. --- Done DocOut changes. Replaced ivm-03 file references (NV-OSI)
Inventory Stock Status Report,T,IVR_STKSTATUS,ivr_stkstatus.aon & _o1,IVR.BA/BB,Input/Report Overlay,SL,BJ-BP,SL,Done SV-BP,,IVR.BB 20Aug mods; converted to ivr_stkstatus & _o1. Select Form built. Data tested. --- Done DocOut changes. Replaced ivm-03 file references (NV-OSI)
Item Activity Report,T,IVR_ITEMACT,ivr_itemact.aon,IVR.EA/EB,Input/Report Overlay,SL,BJ-BP,SL,Done SV-BP,,IVR.EA/EB; converted to a single program ivr_itemact.aon. Select Form built. SL. --- Done DocOut changes. Replaced ivm-03 file references (NV-OSI)
Stock Movement Report,T,IVR_STKMOVEMT,ivr_stkmovemt.aon & _o1,IVR.CA/CB,Input/Report Overlay,SL,BJ-BP,SL,Done SV-BP,,IVR.CB;ca and cb converted to ivr_stkmovemt and ivr_stkmovemt.o1. Select Form built. SL. 20Aug mods. Data tested. -- Done DocOut changes.  (NV-OSI)
Reorder & Shortage Report,T,IVR_STKREORDR,ivr_stkreordr.aon & _o1,IVR.DA/DB,Input/Report Overlay,SL,BJ-BP,SL,Done SV-BP,,IVR.DB;converted to ivr_stkreordr & _o1. Select Form built. SL.  Data tested. --- Done DocOut changes. Replaced ivm-03 file references (NV-OSI)
Turns Report,T,IVR_ITEMTURNS,ivr_itemturns.aon & _o1,IVR.KA/KB,Input/Report Overlay,SL,BJ-BP,SL,Done SS-BP,,IVR.KB;ka and kb converted to ivr_itemturns and _o1. Select Form built. SL. --- Done DocOut changes. Replaced ivm-03 file references (NV-OSI)
Yesterday's Zero Balance Report,T,IVR_ZEROBAL,ivr_zerobal.aon & _o1,IVR.ZA,Input/Report Overlay,SL,BJ-BP,SL,Done SV-BP,,IVR.ZB 20Aug mods;converted to ivr_zerobal & _o1. Select Form built. SL. Data tested. -- Done DocOut changes. (NV-OSI)
Transaction History Listing,T,IVR_TRANSHIST,ivr_transhist.aon,IVR.QA,Input/Report Overlay,SL,CH,CH,CH,CH,done some months ago; still contains lxxxx line labels --- Done DocOut changes. Removed all line number references. (NV-OSI)
LIFO/FIFO Tier Report,T,IVR_LIFOFIFO,ivr_lifofifo.aon,IVR.XA,Input/Report Overlay,SL,CH,CH,CH,CH,done some months ago; still contains lxxxx line labels and references to ivm-03. --- Done DocOut changes. Replaced ivm-03 file references. Removed all line number references and corrected error loop. (NV-OSI)
Synonyms Listing,T,IVR_ITEMSYN,ivr_itemsyn/ivr_itemsyn_o1,IVR.SA,Input/Report Overlay,SL,BJ-BP,CH,Done SV-BP,,IVR.SB;sa/sb converted to ivr_itemsyn and ivr_itemsyn_o1; modified to use alt key on ivm-14 rather than ivm-24 xref. Select Form built.CH 20Aug mods --- Added rep_prog$=pgm(-2) in Document initialiazation block (NV-OSI)
Alternate/Superceded Items Listing,T,IVR_ITEMALT,ivr_itemalt.aon & _o1,IVR.2A,Input/Report Overlay,SL,BJ-BP,SL,Done SV-BP,,IVR.2B 20Aug mods converted to ivr_itemalt & _o1. Select form built. Report tested but there aren't any items to include. SL -- Done DocOut changes. Corrected the loop errors. (NV-OSI)
Inventory Description Listing,T,IVR_ITEMDESC,ivr_itemdesc/ivr_itemdesc_o1,IVR.TA,Input/Report Overlay,SL,BJ-BP,CH,Done SV-BP,,"IVR.TB; found select screen, so maybe someone did this in the past; I created ivr_itemdesc from ivr_ta, and ivr_itemdesc_o1 from ivr_tb. CH.20Aug mods. Done DocOut changes. (NV-OSI)"
Item Detail Listing,T,IVR_ITEMDETAIL,ivr_itemdetail & _o1,IVR.RA,Input/Report Overlay,SL,BJ-BP,SL,Done PS-BP,,IVR.RB 20Aug mods; converted to ivr_itemdetail & _o1. Select form built. SL. Data tested. Done DocOut changes. Replaced ivm-03 file references. Removed unwanted codes. (NV-OSI)
Inventory Item Labels,T,IVR_ITEMLABELS,ivr_itemlabels & _o1.aon,IVR.1A,Input/Report Overlay,SL,BJ-BP,CH,N/A,N/A,IVR.1B;1a/1b converted to ivr_itemlabels and ivr_itemlabels_o1; Select Form built. CH. 20Aug mods; Fixed form and tested with data.
Lotted/Serialized Inventory,G,,,,,,,,,,
History By Item Inquiry,T,,,IVM.FA,Inquiry,,,,,,
History By Customer Inquiry,T,,,IVM.IA,Inquiry,,,,,,
History By Vendor Inquiry,T,,,IVM.JA,Inquiry,,,,,,
Lot/Serial Number History By Item Report,T,IVR_LSTRANHIST,ivr_lottranhist.aon,IVR.7A/7B,Input/Report Overlay,SL,,SL,Done,SL,IVR.7A/7B; converted to ivr_lottranhist; Select Form built.  DocOut was completed earlier; tested with data. --- Done DocOut changes. Corrected loop errors and removed goto statements (NV-OSI)
Lot/Serial Number History By Customer Report,T,IVR_LOTCUSTHIST,ivr_lotcusthist & _o1.aon,IVR.9A/9B,Input/Report Overlay,SL,BJ-BP,SL,Done SS-BP,,"IVR.9B 20Aug mods;data needs to be created for this report; ivt-02 was created, but needs records created from ivt-01. ---- Done DocOut changes. Corrected errors in code (NV-OSI)"
Lot/Serial Number History By Vendor Report,T,IVR_LOTVENDHIST,ivr_lotvendhist & _o1.aon,IVR.8A/8B,Input/Report Overlay,SL,BJ-BP,SL,Done SS-BP,,"IVR.8B 20Aug mods;data needs to be created for this report; ivt-03 was created, but needs records created from ivt-01. --- Done DocOut changes. Corrected errors and removed unwanted codes (NV-OSI)"
Lot/Serial Number Stock Status Report,T,IVR_LOTSTATUS,ivr_lotstatus.aon & _o1,IVR.YA/YB,Input/Report Overlay,SL,BJ-BP,SL,Done SV-BP,,IVR.YB 20Aug mods --- Done DocOut changes. Corrected errors and removed unwanted codes (NV-OSI)
