Description,Type,Version 8 Alias,Version 8 Program,v7 Name,Pgm Type,Form Status,"CodePort (needs, inits)",Print Preview Tested,"DocOut (needs,inits)",DocOut Tested,Comments
Material Requirements Planning,M,,,,,,,,,,
Production Schedule Entry,T,,,mpe_aa.bbx,entry,,,,,,
Resource Forecast Entry,T,,,mpe_ba.bbx,entry,,,,,,
MRP Generation,T,,,mpu_aa.bbx,update initialization,,WIP NV-BP,,,,
" MRP Generation - Purge WO & Req Data, create MRP work files",T,,,mpu_ab.bbx,update,,WIP NV-BP,,,,
 MRP Generation-Generate Purch/Prod/Resource & Peggingdata,T,,,mpu_ac.bbx,update,,WIP NV-BP,,,,
MRP Inquiry,T,,,mpm_ba.bbx,inquiry,,,,,,
 MPM - Planned Purchase Inquiry,T,,,mpm_bb.bbx,inquiry,,,,,,
 MPM - Planned Production Inquiry,T,,,mpm_bc.bbx,inquiry,,,,,,
Reports,G,,,,,,,,,,
Forecast Worksheet,T,MPR_FORCASTWRKSHT,mpr_forcastwrksht.aon,mpr_ca.bbx,report selection,,Done NV-BP,PPT-BP (02/26/2008),,,
Forecast Worksheet - Overlay,T,,mpr_forcastwrksht_o1.aon,mpr_cb.bbx,overlay,,Done NV-BP,PPT-BP (02/26/2008),needs,,
Production Schedule Listing,T,MPR_PRODSCHDLIST,mpr_prodschdlist.aon,mpr_ga.bbx,report selection,,Done NV-BP,PPT-BP (02/27/2008),,,
Production Schedule Listing - Overlay,T,,mpr_prodschdlist_o1.aon,mpr_gb.bbx,overlay,,Done NV-BP,PPT-BP (02/27/2008),needs,,
Resource Forecast Listing,T,MPR_RESFORELIST,mpr_resforecast.aon,mpr_ha.bbx,report selection,,Done PS-BP,PS-BP(02APR08),PS-BP(21MAY08),,
Resource Forecast Listing - Overlay,T,MPR_RESFORELIST,mpr_resforecast_o1.aon,mpr_hb.bbx,overlay,,Done PS-BP,PS-BP(02APR08),PS-BP(21MAY08)
Planned Purchase Report,T,MPR_PLANPURCH,mpr_planpurch.aon,mpr_aa.bbx,report selection,,Done PS-BP,PPT-BP (02/22/2008),
Planned Purchase Report - Overlay,T,,mpr_planpurch_o1.aon,mpr_ab.bbx,overlay,,Done PS-BP,PPT-BP (02/22/2008),needs
Planned Production Report,T,MPR_PLANPROD,mpr_planprod.aon,mpr_ba.bbx,report selection,,Done PS-BP,PPT-BP (03/20/2008),
Planned Production Report - Overlay,T,,mpr_planprod_o1.aon,mpr_bb.bbx,overlay,,Done PS-BP,PPT-BP (03/20/2008),needs
Planned Resources Report,T,MPR_PLANRESOURCE,mpr_planresource.aon,mpr_da.bbx,report selection,,Done PPT-BP,PPT-BP (02/31/2008),
Planned Resources Report - Overlay,T,,mpr_planresource_o1.aon,mpr_db.bbx,overlay,,Done PPT-BP,PPT-BP (02/31/2008),needs
Pegging Report,T,MPR_PEGGING,mpr_pegging.aon,mpr_fa.bbx,report selection,,Done PPT-BP,PPT-BP (03/27/2008),
Pegging Report - Overlay,T,,mpr_pegging_o1.aon,mpr_fb.bbx,overlay,,Done PPT-BP,PPT-BP (03/27/2008),needs
Purchase Requisition Register,T,MPR_PURCHREQREG,mpr_purchreqreg.aon,mpr_ia.bbx,report selection,,Done PPT-BP,PS-BP(16APR08),PS-BP(17APR08)
Purchase Requisition Register - Overlay,T,MPR_PURCHREQREG,mpr_purchreqreg_o1.aon,mpr_ib.bbx,overlay,,Done PPT-BP,PS-BP(16APR08),PS-BP(17APR08)
Purchase Requisition Update,T,MPU_UPDATEREQREG,mpu_updatereqreg.aon,mpu_ca.bbx,update,,Done SV-BP,PS-BP(16APR08),PS-BP(17APR08)
Planned Work Order Register,T,MPR_PLANWOREG,mpr_planworegister.aon,mpr_ja.bbx,report selection,,Done PS-BP,PPT-BP (03/19/2008),
Planned Work Order Register - Overlay,T,,mpr_planworegister_o1.aon,mpr_jb.bbx,overlay,,Done PS-BP,PPT-BP (03/19/2008),needs
Planned Work Order Update,T,MPR_WOREGISTER,mpu_woregister.aon,mpu_da.bbx,update,,Done SV-BP,PPT-BP (03/19/2008),
Forecast Calendar Listing,T,,,mpr_ea.bbx,report selection,,Done PS-BP,,
Maintenance,G,,,,,,,
Forecast Types,T,,,mpm_aa.bbx,entry,,Done PS-BP,
Create Forecast Calendar,T,,,mpm_ca.bbx,entry,,Done PS-BP,
Forecast Calendar Maintenance,T,,,mpm_da.bbx,entry,,Done PS-BP,
Purge Forecast Calendar,T,MP_PURGEFORECAST,,mpu_ba.bbx,entry,,Done PS-BP,
Publics,G,,,,,,,
Open MRP Files Using Alias,P,MPC_OPENALIAS,mpc_openalias.aon,mpc_fa.bbx,,,Done PS-BP,PPT-BP (03/20/2008)
Transaction Selection for the Pegging Report,P,,,mpc_ta.bbx,,,Done PS-BP,
