Description,Menu ID,Type,Alias,Program,AON Equiv.,Who,Comp,Needs CodePort,Needs DocOut,DocOut Status,Normalization Mods Done,Comments
Accounts Payable,APMENU,M,,,,,,,,,,
Invoice Entry,APE_INVOICEHDR,T,APE_INVOICEHDR,,APE.AA,CH,Y,,,,,
Invoice Register,APR_INVREG,A,APR_INVREG,apr_invoiceentry.aon,APR.AA,CH,Y,,Y,Done SV-BP,,Adding rep_prog$=pgm(-2) in document initializations.
Payment Selection,APE_EA,T,,ape_ea.aon,APE.EA,JB,P,,,,,
Payment Selection Report,APR_PAYMENT,A,APR_PAYMENT,apr_payments.aon,APR.DA,JL/JB,P,Y,Y,Done PS-BP,,Adding rep_prog$=pgm(-2) in document initializations.
Check Printing,APR_CHECKS,T,APR_CHECKS,,APR.EA,JB,P,Y,,,,
Check Register,APR_CHKREGISTER,A,,apr_chkregister.aon,APR.FA,JL/JB,P,,Y,Done PS-BP,,Adding rep_prog$=pgm(-2) in document initializations.
Manual Check Entry,APE_MANCHECKHDR,T,APE_MANCHECKHDR,,APE.CA,CH,Y,,,,,
Manual Check Register,APR_MANUALCHECKS,A,,apr_manualchecks.aon,APR.GA,JL/CH,Y,,,Done SV-BP,,Adding rep_prog$=pgm(-2) in document initializations.
Aging Report,APR_AGINGREPORT,T,APR_AGINGREPORT,,APR.CA,JB,Y,Y,Y,Done PS-BP,,Adding rep_prog$=pgm(-2) in document initializations.
Cash Requirements Report,APR_CASHREQUIRE,T,APR_CASHREQUIRE,,APR.BA,JB,P,Y,Y,Done PS-BP,,Adding rep_prog$=pgm(-2) in document initializations.
Reports,APMENU_REPORTS,G,,,,,,,,,,
Vendor Cross Reference Listing,APR_VENDXREF,A,APR_VENDXREF,apr_vendorxref.aon,APR.IA,JL,N/A,,,,,remove from system
Vendor Label Printing,APR_LABELS,T,APR_LABELS,,APR.KA,JB,Y,,,,,
Vendor Detail Listing,APR_DETAIL,T,APR_DETAIL,,APR.XA,JB,Y,,Y,Done NV-BP,,Adding rep_prog$=pgm(-2) in document initializations.
Vendor Comments Listing,APR_COMMENTS,T,APR_COMMENTS,,APR.QA,JB,Y,,Y,Done NV-BP,,Adding rep_prog$=pgm(-2) in document initializations.
Vendor Name & Address Listing,APR_NAMEADDRESS,T,APR_NAMEADDRESS,,APR.PA,JB,Y,,,,,Adding rep_prog$=pgm(-2) in document initializations.
Vendor Ledger Cards,APR_LEDGERS,T,APR_LEDGERS,,APR.LA,JB,Y,,Y,Done NV-BP,,Adding rep_prog$=pgm(-2) in document initializations.
Temporary Vendor Listing,APR_TEMPVEND,A,APR_TEMPVEND,apr_tempvendors.aon,APR.SA,JL,N/A,,,,,No more temporary vendors
Period End Processing,APMENU_PEND,G,,,,,,,,,,
Purchase Journal,APR_PURCHASES,T,APR_PURCHASES,,APR.OA,JB,Y,,Y,Done NV-BP,,Adding rep_prog$=pgm(-2) in document initializations.
Disbursements Journal,APR_DISBURSEMNTS,T,APR_DISBURSEMNTS,,APR.MA,JB,Y,,Y,Done PS-BP,,Adding rep_prog$=pgm(-2) in document initializations.
Monthly Check Report,APR_CHECKREPORT,T,APR_CHECKREPORT,,APR.HA,JB,Y,,Y,,,Adding rep_prog$=pgm(-2) in document initializations.
Check & Zero Balance Invoice Purge,APR_ZEROBALANCE,T,APR_ZEROBALANCE,,APR.RA,JB,Y,,Y,,,
Period End Update,APU_PERIODEND,T,APU_PERIODEND,,APU.DA,JB,Y,,,,,
Export 1099 Data to Text,APX_EXPORT1099,T,APX_EXPORT1099,,v7,JB,Y,,,,,
Close Form 1099 Year,APU_CLOSE1099,A,APU_CLOSE1099,apu_close1099.aon,v7,JB,Y,,,,,
Maintenance,APMENU_MAINT,G,,,,,,,,,,
Vendors,APM_VENDMAST,T,APM_VENDMAST,,APM.MA,CH,Y,,,,,
Accounts Payable Types,APC_TYPECODE,T,APC_TYPECODE,,APM.AA,SV,Y,,,,,
Distribution Codes,APC_DISTRIBUTION,T,APC_DISTRIBUTION,,APM.BA,SV,Y,,,,,
Payment Groups,APC_PAYMENTGROUP,T,APC_PAYMENTGROUP,,APM.DA,SV,Y,,,,,
Terms Codes,APC_TERMSCODE,T,APC_TERMSCODE,,APM.CA,SV,Y,,,,,
Recurring Invoice Entry,APE_DA,T,,ape_da.aon,APE.DA,CH,Y,,,,,
Recurring Invoice Register,APR_RECURRING,T,APR_RECURRING,,APR.NA,JL/CH,Y,Y,Y,Done SV-BP,,Adding rep_prog$=pgm(-2) in document initializations.
Parameters,APMENU_PARAMS,G,APS_PARAMS,,,,,,,,,
Application Parameters,APS_PARAMS,T,APS_PARAMS,,APP.PA,JL,Y,,,,,
Report Parameters,APS_REPORT,T,APS_REPORT,,APP.PA,JL,Y,,,,,
Accounts Receivable,ARMENU,M,,,,,,,,,,
Invoice Entry,ARE_INVHDR,T,ARE_INVHDR,,ARE.FA,CH,Y,,,,,
Invoice Printing,ARR_INVOICES,T,ARR_INVOICES,,ARR.UA,JL,Y,,,,,
Invoice Register,ARR_INVOICEENTRY,A,,arr_invoiceentry.aon,ARR.VA,JL,Y,,Y,done,,Added the line rep_prog$=pgm(-2) in Document Initializations
Cash Receipts Entry,ARE_CASHHDR,T,ARE_CASHHDR,,ARE.AA,JB,Y,,,,,
Cash Receipts Register,ARR_CASHRECEIPTS,T,ARR_CASHRECEIPTS,,ARR.AA,JB,Y,,Y,done,,Added the line rep_prog$=pgm(-2) in Document Initializations
Aging Report,ARR_AGINGREPORT,T,ARR_AGINGREPORT,,ARR.4A,JB,Y,,Y,Done-PPT-BP,,Added the line rep_prog$=pgm(-2) in Document Initializations
Aging Analysis Report,ARR_ANALYSIS,T,ARR_ANALYSIS,,ARR.5A,JB,Y,,Y,Done NV-BP,,Added the line rep_prog$=pgm(-2) in Document Initializations
Age Transactions,ARU_AGINGUPDATE,T,ARU_AGINGUPDATE,,ARU.EA,JB,Y,Y,,,,
Credit Managers Review & Release,,,,,,,,,,,,
Reports,ARMENU_REPORTS,G,,,,,,,,,,
Customer Cross Reference Listing,ARR_CUSTOMERXREF,A,,arr_customerxref.aon,ARR.IA,JB,,,,remove from system,,
Customer Label Printing,ARR_LABELS,T,ARR_LABELS,,ARR.EA,JB,Y,,,,,
Customer Name Listing,ARR_NAMELIST,T,ARR_NAMELIST,,ARR.RA,JB,Y,,Y,Done NV-BP,,Added the line rep_prog$=pgm(-2) in Document Initializations
Customer Detail Listing,ARR_DETAIL,T,ARR_DETAIL,,ARM.WA,JB,Y,,Y,Done PS-BP,,Added the line rep_prog$=pgm(-2) in Document Initializations
Customer Comments Listing,ARR_COMMENTS,T,ARR_COMMENTS,,ARR.RC,JB,Y,,Y,Done NV-BP,,Added the line rep_prog$=pgm(-2) in Document Initializations
Customer Name & Address Listing,ARR_NAMEADDRESS,T,ARR_NAMEADDRESS,,ARR.DA,JB,Y,,Y,done,,Added the line rep_prog$=pgm(-2) in Document Initializations
Customer Ledger Cards,ARR_LEDGERS,T,ARR_LEDGERS,,ARR.9A,JB,Y,,Y,Done SV-BP,,Added the line rep_prog$=pgm(-2) in Document Initializations
Period End Processing,ARMENU_PEND,G,,,,,,,,,,
Aging Report,ARR_AGINGREPORTPE,A,ARR_AGINGREPORT,arr_agingreport.aon,ARR.4A,SV,Y,,,,,
Generate Finance Charges,ARU_FINANCECHARG,T,ARU_FINANCECHARG,,ARU.HA,JL,Y,,,,,
Finance Charge Entry,ARE_FINCHG,T,ARE_FINCHG,,ARE.BA,CH,Y,,,,,
Purge Finance Charge Entries,ARU_FINANCEPURGE,A,,aru_financepurge.aon,,JL,Y,,,,,
Finance Charge Register,ARR_FINCHGREGISTER,A,,arr_otherentry.aon,ARR.JA,JL,Y,,Y,Done PS-BP,,Added the line rep_prog$=pgm(-2) in Document Initializations
Customer Statements,ARR_STATEMENTS,T,ARR_STATEMENTS,,ARR.CA,JL,Y,,,,,
Monthly Cash Receipts Journal,ARR_CASHJOURNAL,T,ARR_CASHJOURNAL,,ARR.GA,JL,Y,,Y,Done SV-BP,,Added the line rep_prog$=pgm(-2) in Document Initializations
Monthly Cash Receipts Journal Purge,ARU_CASHJOURNAL,T,ARU_CASHJOURNAL,,ARU.XA,JL,Y,,,,,
Customer Ranking Report,ARR_RANKING,T,ARR_RANKING,,ARR.KA,SV,Y,,Y,done,,Added the line rep_prog$=pgm(-2) in Document Initializations
Zero Balance Invoice Report & Purge,ARR_ZEROBALANCE,T,ARR_ZEROBALANCE,,ARR.8A,JL,Y,,Y,Done NV-BP,,"Note -- when testing, print the report but please do NOT answer ""yes"" to the purge prompt. Added the line rep_prog$=pgm(-2) in Document Initializations; Modified the fndate$()"
Period End Update,ARU_PERIODEND,A,ARU_PERIODEND,aru_periodend.aon,ARU.BA,JL,Y,,,,,
Maintenance,ARMENU_MAINT,G,,,,,,,,,,
Customers,ARM_CUSTMAST,T,ARM_CUSTMAST,,ARM.MA,JB,Y,,,,,
Customer Types,ARC_CUSTTYPE,T,ARC_CUSTTYPE,,ARM.LA,SV,Y,,,,,JCM
Salespersons,ARC_SALECODE,T,ARC_SALECODE,,ARM.FA,SV,Y,,,,,JCM
Terms Codes,ARC_TERMCODE,T,ARC_TERMCODE,,ARM.AA,SV,Y,,,,,JCM
Territory Codes,ARC_TERRCODE,T,ARC_TERRCODE,,ARM.HA,SV,Y,,,,,JCM
Cash Receipt Codes,ARC_CASHCODE,T,ARC_CASHCODE,,ARM.CA,SV,Y,,,,,JCM
Distribution Codes,ARC_DISTCODE,T,ARC_DISTCODE,,ARM.DA,SV,Y,,,,,
Cycle Codes,ARM_CYCLECOD,T,ARM_CYCLECOD,,v7,,,,,,,
Parameters,ARMENU_PARAMS,G,ARS_PARAMS,,,,,,,,,
Application Parameters,ARS_PARAMS,T,ARS_PARAMS,,ARP.AA,CH,Y,,,,,
Credit Management Parameters,ARS_CREDIT,T,ARS_CREDIT,,ARP.AA,JB,Y,,,,,
Report Parameters,ARS_REPORT,T,ARS_REPORT,,ARP.AA,CH,Y,,,,,
New Customer Defaults,ARS_CUSTDFLT,T,ARS_CUSTDFLT,,ARP.AA,CH,Y,,,,,
Utilities,ARMENU_UTILITIES,G,,,,,,,,,,
Conversion Invoice Entry,ARE_CNVINV,T,ARE_CNVINV,,ARE.BA,CH,Y,,,,,
Conversion Invoice Register,ARR_CONVREGISTER,A,ARR_CONVREGISTER,arr_otherentry.aon,ARR.JA,JL,Y,,Y,Done PS-BP,,
Invoice Date Modification Entry,ARE_DATECHANGE,T,ARE_DATECHANGE,,ARE.EA,SV,Y,,,,,
